"id","fecha","edad","perfil","objetivo","razon","monto ARS","Instrumento"
"1","01/05/2024","entre 26 y 35 años","Agresivo","Retiro","Vehículo","70375","Fondos"
"2","04/12/2024","menos de 25 años","Agresivo","Retiro","Sin motivo específico","48491","Bonos"
"3","14/05/2024","menos de 25 años","Moderado","Ahorro","Aprendizaje","68769","Bonos"
"4","06/06/2024","más de 46 años","Agresivo","Ahorro","Proyecto personal","70884","ETF"
"5","11/11/2024","más de 46 años","Moderado","Retiro","Sin motivo específico","91281","ETF"
"6","28/12/2024","más de 46 años","Moderado","Otro","Sin motivo específico","42236","ETF"
"7","03/07/2024","más de 46 años","Conservador","Inversión","Vivienda","33338","Bonos"
"8","23/09/2024","entre 36 y 45 años","Conservador","Ahorro","Sin motivo específico","30694","Fondos"
"9","12/03/2024","menos de 25 años","Conservador","Aumentar ingresos","Vehículo","90174","Ninguno"
"10","08/02/2024","entre 26 y 35 años","Moderado","Otro","Vehículo","79692","ETF"
"11","20/11/2024","más de 46 años","Agresivo","Aumentar ingresos","Vacaciones","61222","Fondos"
"12","13/07/2024","entre 36 y 45 años","Agresivo","Inversión","Educación","94800","Bonos"
"13","25/03/2024","entre 26 y 35 años","Moderado","Retiro","Proyecto personal","81377","Bonos"
"14","22/09/2024","menos de 25 años","Moderado","Ahorro","Proyecto personal","87460","Fondos"
"15","21/04/2024","más de 46 años","Conservador","Retiro","Vacaciones","62800","Acciones"
"16","19/12/2024","más de 46 años","Conservador","Otro","Vivienda","95578","ETF"
"17","08/04/2024","entre 26 y 35 años","Conservador","Ahorro","Vivienda","99286","Acciones"
"18","01/07/2024","menos de 25 años","Agresivo","Ahorro","Vivienda","86603","Fondos"
"19","29/03/2024","menos de 25 años","Conservador","Aumentar ingresos","Sin motivo específico","37531","Fondos"
"20","14/03/2024","menos de 25 años","Moderado","Retiro","Sin motivo específico","33259","Acciones"
"21","24/06/2024","entre 26 y 35 años","Conservador","Inversión","Aprendizaje","31391","Acciones"
"22","10/02/2024","más de 46 años","Conservador","Otro","Sin motivo específico","57390","Bonos"
"23","03/04/2024","entre 26 y 35 años","Conservador","Otro","Sin motivo específico","74980","Acciones"
"24","27/06/2024","menos de 25 años","Agresivo","Ahorro","Vivienda","47560","Bonos"
"25","22/03/2024","más de 46 años","Moderado","Inversión","Sin motivo específico","48022","Fondos"
"26","30/12/2024","entre 36 y 45 años","Agresivo","Retiro","Aprendizaje","36299","ETF"
"27","18/11/2024","más de 46 años","Moderado","Retiro","Proyecto personal","39106","Fondos"
